customer_id,gender,age,city,signup_date,loyalty_member
C0001,Male,19,Liverpool,2023-10-17,Yes
C0002,Male,65,Manchester,2022-08-17,Yes
C0003,Female,20,London,2023-08-28,Yes
C0004,Male,50,London,2022-08-12,Yes
C0005,Female,32,Nottingham,2023-10-28,No
C0006,Male,62,Sheffield,2022-01-07,No
C0007,Male,31,Bristol,2022-10-12,Yes
C0008,Female,24,Bristol,2022-04-05,No
C0009,Female,20,Nottingham,2023-09-11,Yes
C0010,Male,53,Liverpool,2023-01-23,No
C0011,Male,63,Manchester,2023-08-15,Yes
C0012,Male,36,Manchester,2023-11-09,Yes
C0013,Female,35,Nottingham,2022-04-14,No
C0014,Female,40,Leeds,2022-06-16,No
C0015,Male,56,Birmingham,2023-12-01,Yes
C0016,Female,42,Liverpool,2022-06-17,Yes
C0017,Male,32,London,2022-11-29,No
C0018,Female,22,Leeds,2023-02-15,No
C0019,Female,43,Nottingham,2022-08-06,Yes
C0020,Male,33,Liverpool,2022-09-29,No
C0021,Female,41,Leeds,2023-08-21,Yes
C0022,Female,23,London,2023-06-06,Yes
C0023,Male,61,Sheffield,2022-06-06,Yes
C0024,Female,56,Nottingham,2023-01-30,No
C0025,Male,61,Manchester,2023-07-21,No
C0026,Female,25,Liverpool,2023-10-19,No
C0027,Female,18,Liverpool,2022-06-11,Yes
C0028,Male,58,Liverpool,2023-06-04,Yes
C0029,Female,28,London,2022-06-06,No
C0030,Male,25,Bristol,2023-05-16,No
C0031,Male,33,Manchester,2022-09-03,Yes
C0032,Male,52,Birmingham,2023-05-13,Yes
C0033,Female,53,Birmingham,2023-11-07,No
C0034,Female,31,Leeds,2023-06-25,No
C0035,Female,46,Nottingham,2023-02-13,Yes
C0036,Male,22,Bristol,2022-09-11,Yes
C0037,Male,55,Leeds,2023-08-26,Yes
C0038,Male,32,Manchester,2022-03-14,Yes
C0039,Male,50,Leeds,2022-12-05,No
C0040,Female,31,Birmingham,2023-11-17,No
C0041,Female,44,Leeds,2022-09-06,Yes
C0042,Female,40,Sheffield,2022-04-10,No
C0043,Male,61,Manchester,2023-04-24,Yes
C0044,Female,24,Leeds,2023-02-17,Yes
C0045,Female,26,Sheffield,2022-07-14,Yes
C0046,Female,33,Manchester,2022-10-13,No
C0047,Male,21,London,2023-07-18,Yes
C0048,Male,44,Nottingham,2022-08-31,No
C0049,Female,21,Birmingham,2022-08-07,No
C0050,Female,34,Nottingham,2022-01-03,No
C0051,Female,27,Leeds,2023-03-10,No
C0052,Male,55,London,2022-08-11,No
C0053,Male,55,Nottingham,2022-02-28,Yes
C0054,Male,29,Manchester,2022-02-28,Yes
C0055,Male,43,Manchester,2023-11-23,Yes
C0056,Male,57,Manchester,2023-08-16,No
C0057,Female,34,Leeds,2023-11-05,No
C0058,Female,43,Birmingham,2022-09-02,No
C0059,Female,22,London,2023-04-14,No
C0060,Male,22,Leeds,2023-09-29,No
C0061,Female,22,Leeds,2022-05-16,No
C0062,Male,46,Liverpool,2022-10-19,Yes
C0063,Female,60,Manchester,2023-11-15,Yes
C0064,Male,24,Birmingham,2022-09-28,No
C0065,Male,63,Bristol,2022-10-16,Yes
C0066,Female,50,Nottingham,2023-10-12,No
C0067,Male,58,Sheffield,2022-02-22,No
C0068,Male,39,Birmingham,2022-02-15,No
C0069,Female,53,Sheffield,2022-06-15,Yes
C0070,Male,62,Birmingham,2022-04-25,Yes
C0071,Male,45,Birmingham,2023-01-14,Yes
C0072,Female,20,Bristol,2022-11-12,Yes
