order_id,customer_id,product_id,order_date,quantity,payment_method
O00001,C0692,P006,2023-01-29,4,Card
O00002,C1072,P059,2023-04-19,5,Card
O00003,C1187,P030,2024-01-15,1,Card
O00004,C0290,P063,2024-01-12,1,Cash
O00005,C0094,P032,2024-04-09,2,Card
O00006,C0103,P040,2023-03-30,1,Cash
O00007,C0350,P076,2023-11-09,1,Card
O00008,C1019,P077,2023-02-28,5,Card
O00009,C0416,P055,2023-02-02,3,Online
O00010,C0824,P042,2023-12-14,1,Online
O00011,C1118,P018,2023-10-22,3,Card
O00012,C0094,P076,2024-01-27,2,Cash
O00013,C0248,P036,2023-02-02,2,Cash
O00014,C0758,P071,2023-03-28,2,Cash
O00015,C1192,P006,2023-05-05,2,Card
O00016,C0771,P021,2024-02-10,1,Cash
O00017,C0014,P001,2023-02-11,2,Card
O00018,C0582,P054,2023-12-28,4,Online
O00019,C0423,P019,2023-03-06,3,Online
O00020,C0844,P031,2023-08-19,2,Online
O00021,C0078,P077,2023-12-21,2,Online
O00022,C0181,P039,2023-09-13,3,Cash
O00023,C1143,P031,2023-01-03,2,Card
O00024,C0196,P080,2023-09-29,3,Online
O00025,C0450,P060,2023-09-17,2,Cash
O00026,C0397,P015,2023-01-28,2,Online
O00027,C0972,P064,2024-03-08,2,Card
O00028,C0089,P007,2023-12-10,3,Cash
O00029,C0891,P033,2023-04-18,3,Online
O00030,C0929,P006,2024-02-17,1,Online
O00031,C1101,P023,2023-01-27,2,Card
O00032,C1055,P015,2023-09-06,1,Card
O00033,C0911,P076,2024-01-05,5,Cash
O00034,C0408,P042,2023-08-03,2,Card
O00035,C0467,P013,2023-06-16,2,Online
O00036,C0410,P049,2023-07-31,2,Card
O00037,C1199,P063,2023-08-30,1,Cash
O00038,C0443,P079,2023-03-16,4,Card
O00039,C0765,P018,2023-07-18,4,Online
O00040,C0735,P035,2023-04-10,2,Cash
O00041,C0066,P073,2023-03-07,1,Cash
O00042,C0228,P060,2023-03-11,4,Cash
O00043,C0704,P029,2023-03-29,3,Online
O00044,C0349,P074,2023-03-22,5,Card
O00045,C0844,P067,2023-02-14,4,Card
O00046,C0970,P060,2023-10-30,3,Card
O00047,C0877,P032,2024-01-09,2,Cash
O00048,C1187,P029,2023-08-11,5,Card
O00049,C1175,P001,2024-04-12,4,Card
O00050,C0964,P065,2023-01-21,1,Cash
O00051,C0808,P062,2023-09-29,1,Cash
O00052,C0493,P011,2023-09-11,5,Card
O00053,C0833,P028,2023-12-21,2,Cash
O00054,C0490,P012,2023-06-01,1,Cash
O00055,C0625,P021,2023-12-09,4,Online
O00056,C1196,P004,2024-01-18,4,Cash
O00057,C0284,P052,2024-01-31,2,Cash
O00058,C0951,P001,2023-11-17,1,Cash
O00059,C0682,P068,2024-04-02,1,Cash
O00060,C0553,P079,2023-08-07,5,Online
O00061,C0425,P011,2024-02-11,5,Cash
O00062,C0113,P066,2024-01-12,3,Card
O00063,C0785,P047,2023-02-26,4,Online
O00064,C0749,P047,2023-01-21,2,Online
O00065,C0138,P072,2023-10-14,2,Card
O00066,C0489,P070,2023-06-21,1,Online
O00067,C1189,P027,2023-09-02,2,Cash
O00068,C0548,P065,2023-06-30,4,Cash
O00069,C0130,P048,2023-01-28,3,Cash
O00070,C1027,P068,2023-09-06,1,Cash
O00071,C1090,P069,2023-12-30,3,Cash
